Names,Psychometrics Score,Presentation Score,Date,Location
DONAVON GLAZEBROOK,50.0,46.88,2019-07-23,London Academy
MERRILL MCKIE,58.0,59.38,2019-07-23,London Academy
RONNY VASILCHENKO,60.0,65.62,2019-07-23,London Academy
SCARLETT ROARTY,58.0,71.88,2019-07-23,London Academy
ANNABELA BRACKENRIDGE,53.0,75.0,2019-07-23,London Academy
KERSTIN COUPER,52.0,68.75,2019-07-23,London Academy
ALISTAIR SCANES,59.0,68.75,2019-07-23,London Academy
ANNICE FARADY,54.0,40.62,2019-07-23,London Academy
RACHELLE LOUTHEANE,51.0,43.75,2019-07-23,London Academy
ADELA PALEY,59.0,56.25,2019-07-23,London Academy
STERLING BYER,49.0,68.75,2019-07-23,London Academy
NADYA PINEAUX,56.0,71.88,2019-07-23,London Academy
CHES WAHLBERG,54.0,68.75,2019-07-23,London Academy
BERNADETTE O' TIMONY,59.0,59.38,2019-05-23,Birmingham Academy
GERT BUFFERY,48.0,65.62,2019-05-23,Birmingham Academy
BRITTANY MCCLUSKEY,53.0,59.38,2019-05-23,Birmingham Academy
TIMMI WARR,64.0,62.5,2019-05-23,Birmingham Academy
DALLAS SHEEKEY,58.0,56.25,2019-05-23,Birmingham Academy
WOLFIE SHOWERS,54.0,71.88,2019-05-23,Birmingham Academy
GAVEN ECKFORD,57.0,50.0,2019-05-23,Birmingham Academy
NICOLEA GIBBINS,61.0,71.88,2019-05-23,Birmingham Academy
GODFREY MCALPINE,49.0,53.12,2019-05-23,Birmingham Academy
JAMIMA THURSBY,60.0,68.75,2019-05-23,Birmingham Academy
HARLENE BRYMNER,51.0,65.62,2019-05-23,Birmingham Academy
BUDDY KETTLE,61.0,59.38,2019-05-23,Birmingham Academy
EVEY REISK,50.0,71.88,2019-05-23,Birmingham Academy
ARTUR DOMASCHKE,68.0,59.38,2019-05-23,Birmingham Academy
PARK JAUMET,55.0,59.38,2019-05-23,Birmingham Academy
TERRIE MACKIBBON,55.0,59.38,2019-05-23,Birmingham Academy
ROLAND MCMURRAY,50.0,53.12,2019-05-23,Birmingham Academy
ALISON TRANCKLE,58.0,75.0,2019-05-23,Birmingham Academy
RENADO ARNALDO,60.0,56.25,2019-05-23,Birmingham Academy
LUCIAN LUCKIN,52.0,75.0,2019-05-23,Birmingham Academy
TABOR VELTMAN,65.0,59.38,2019-05-23,Birmingham Academy
SIGMUND MOULIN,58.0,75.0,2019-05-23,Birmingham Academy
HERBY GLADDOR,46.0,59.38,2019-05-23,Birmingham Academy
FLORIA KEUNEMANN,56.0,71.88,2019-10-23,London Academy
RAFFAELLO BYNETH,54.0,59.38,2019-10-23,London Academy
MORIE BEER,56.0,62.5,2019-10-23,London Academy
VIC MASSOT,61.0,50.0,2019-10-23,London Academy
LAURENS ROUTHAM,61.0,62.5,2019-10-23,London Academy
CARITA FENECH,49.0,59.38,2019-10-23,London Academy
DANELLA LEISK,64.0,50.0,2019-10-23,London Academy
JENS TOMASKUNAS,59.0,62.5,2019-10-23,London Academy
LINDON MEE,53.0,68.75,2019-10-23,London Academy
MARTITA HUGLE,57.0,78.12,2019-10-23,London Academy
KAMEKO WILMORE,60.0,53.12,2019-10-23,London Academy
CARRIE FITZHENRY,55.0,68.75,2019-10-23,London Academy
REUVEN KNEAPHSEY,53.0,75.0,2019-10-23,London Academy
NELIE CHATE,60.0,62.5,2019-10-23,London Academy
HATTY KINNER,52.0,62.5,2019-10-23,London Academy
NORA LEYES,59.0,53.12,2019-10-23,London Academy
TOBY FROSSELL,60.0,40.62,2019-10-23,London Academy
TORY AIRETON,60.0,62.5,2019-10-23,London Academy
AMBROS DIONSETTO,43.0,50.0,2019-10-23,London Academy
CELESTA LINTURN,50.0,59.38,2019-10-23,London Academy
NIAL IPSLY,51.0,46.88,2019-10-23,London Academy
ALFONSO PASCHEK,47.0,65.62,2019-10-23,London Academy
CLAIR PRESTLAND,46.0,56.25,2019-10-23,London Academy
MORTIE BEADEL,57.0,37.5,2019-10-23,London Academy
OBY TOMLIN,50.0,68.75,2019-10-23,London Academy
KISSEE STROWTHERS,57.0,34.38,2019-10-23,London Academy
PARKE VAN SON,51.0,62.5,2019-04-24,London Academy
HAZEL BOYACK,69.0,68.75,2019-04-24,London Academy
ROSINA ELLAWAY,56.0,59.38,2019-04-24,London Academy
JENIFFER KOHRSEN,49.0,71.88,2019-04-24,London Academy
ANABELLE MASEY,68.0,68.75,2019-04-24,London Academy
REUBE LAUNCHBURY,56.0,56.25,2019-04-24,London Academy
JANNA HEYFIELD,57.0,59.38,2019-04-24,London Academy
HERSH BRAMO,64.0,53.12,2019-04-24,London Academy
KRISTE YALLOP,43.0,56.25,2019-04-24,London Academy
HAYWARD MACDUNLEAVY,57.0,87.5,2019-04-24,London Academy
HUBERTO VOLLAM,54.0,65.62,2019-04-24,London Academy
LORIANNE POTTICARY,56.0,65.62,2019-04-24,London Academy
KLARIKA GRODDEN,49.0,43.75,2019-04-24,London Academy
TANYA ALTOFTS,54.0,71.88,2019-04-24,London Academy
FLORENCE JOSEPH,59.0,71.88,2019-04-24,London Academy
GUNILLA DAVIDI,57.0,59.38,2019-04-24,London Academy
DANIELA RAFFAN,58.0,56.25,2019-04-24,London Academy
RUTH HARNOR,55.0,62.5,2019-04-24,London Academy
WILEEN RECKUS,52.0,84.38,2019-04-24,London Academy
WILMER GEALLE,52.0,90.62,2019-04-24,London Academy
WARDE ZECCHINII,53.0,53.12,2019-04-24,London Academy
MICHELE LAWTIE,55.0,43.75,2019-04-24,London Academy
KIT ODDBOY,56.0,59.38,2019-01-24,Birmingham Academy
JOHANNES HANNY,67.0,40.62,2019-01-24,Birmingham Academy
SIBLEY KNEAPHSEY,50.0,71.88,2019-01-24,Birmingham Academy
JORRY BOOM,43.0,65.62,2019-01-24,Birmingham Academy
ALEXANDRO FRID,49.0,68.75,2019-01-24,Birmingham Academy
FRAN GEBBIE,66.0,62.5,2019-01-24,Birmingham Academy
PATRICE PRESCOTT,55.0,68.75,2019-01-24,Birmingham Academy
BLAINE KIMMEL,52.0,34.38,2019-01-24,Birmingham Academy
ISAC BRONGER,64.0,68.75,2019-01-24,Birmingham Academy
MUHAMMAD GARTHLAND,52.0,75.0,2019-01-24,Birmingham Academy
MERLINA SPIRES,46.0,78.12,2019-01-24,Birmingham Academy
DANNA DOYLEY,46.0,75.0,2019-01-24,Birmingham Academy
ROXANNA TUNSTALL,52.0,50.0,2019-01-24,Birmingham Academy
KONRAD MCCREADY,56.0,65.62,2019-01-24,Birmingham Academy
GOOBER SULLY,46.0,62.5,2019-01-24,Birmingham Academy
ZOE SCHLAG,59.0,62.5,2019-01-24,Birmingham Academy
THURSTON VENES,54.0,59.38,2019-01-24,Birmingham Academy
JORRY VARLEY,54.0,65.62,2019-01-24,Birmingham Academy
HALLIE ROBBEKE,51.0,65.62,2019-01-24,Birmingham Academy
LUTERO WINNING,58.0,71.88,2019-01-24,Birmingham Academy
RONALDA RICHMOND,63.0,65.62,2019-01-24,Birmingham Academy
SYBIL MAYDWAY,60.0,78.12,2019-01-24,Birmingham Academy
KIAH PITTWOOD,68.0,56.25,2019-01-24,Birmingham Academy
CRAIG FERRIBY,55.0,59.38,2019-01-24,Birmingham Academy
MEL LAFONTAINE,64.0,59.38,2019-01-24,Birmingham Academy
MARLON TOMALA,59.0,46.88,2019-01-24,Birmingham Academy
OLIN GARIFF,58.0,46.88,2019-01-24,Birmingham Academy
NORA AKERS,61.0,71.88,2019-07-24,London Academy
FRANCKLYN LEYNINYE,59.0,68.75,2019-07-24,London Academy
JULISSA DUMBLETON,57.0,59.38,2019-07-24,London Academy
ELISE SOPPETH,57.0,68.75,2019-07-24,London Academy
KERR ALLANSON,58.0,65.62,2019-07-24,London Academy
BERTY SAYE,44.0,68.75,2019-07-24,London Academy
HURLEY COLLYER,70.0,75.0,2019-07-24,London Academy
HORTEN GOBLE,65.0,75.0,2019-07-24,London Academy
KATRINE WESTLEY,66.0,65.62,2019-07-24,London Academy
INGRID CRADICK,65.0,75.0,2019-07-24,London Academy
VALERY DELIA,56.0,71.88,2019-07-24,London Academy
ANDREY COCHRAN,55.0,78.12,2019-07-24,London Academy
BRYANTY BROSNAN,48.0,59.38,2019-07-24,London Academy
VIRGILIO DUDDY,46.0,71.88,2019-07-24,London Academy
RAIMONDO MELLODEY,65.0,71.88,2019-07-24,London Academy
NEVIL PENHALIGON,57.0,65.62,2019-07-24,London Academy
CLEMENTINE GREEDIER,67.0,53.12,2019-07-24,London Academy
HARRISON FILBY,48.0,71.88,2019-07-24,London Academy
BRODIE CHIPPERFIELD,55.0,68.75,2019-07-24,London Academy
DEWITT MILBORN,52.0,56.25,2019-07-24,London Academy
RAVEN DERX,52.0,68.75,2019-07-24,London Academy
INES PLASCHKE,54.0,56.25,2019-07-24,London Academy
AHMAD SHREEVES,44.0,59.38,2019-07-24,London Academy
RUBY BATECOK,72.0,62.5,2019-10-24,Birmingham Academy
ODELL DWIRE,65.0,62.5,2019-10-24,Birmingham Academy
JOETE GUMMORY,45.0,62.5,2019-10-24,Birmingham Academy
KATHRINE SUGAR,56.0,53.12,2019-10-24,Birmingham Academy
LANIE ROMEUF,58.0,59.38,2019-10-24,Birmingham Academy
GAVIN DOUGILL,52.0,43.75,2019-10-24,Birmingham Academy
FARLAY PITMAN,58.0,78.12,2019-10-24,Birmingham Academy
BANKY MCHAFFY,49.0,78.12,2019-10-24,Birmingham Academy
MAIGA GRIFFIN,54.0,62.5,2019-10-24,Birmingham Academy
TIFFANY LAUGHERANE,58.0,65.62,2019-10-24,Birmingham Academy
KARITA CRISSIL,57.0,59.38,2019-10-24,Birmingham Academy
NALANI PETZ,64.0,37.5,2019-10-24,Birmingham Academy
GASTON KUNC,63.0,46.88,2019-10-24,Birmingham Academy
THAXTER VANYUSHIN,52.0,75.0,2019-10-24,Birmingham Academy
LONNARD WETTON,49.0,71.88,2019-10-24,Birmingham Academy
VANNY GRIMSDITCH,50.0,59.38,2019-10-24,Birmingham Academy
JORI RISELEY,51.0,65.62,2019-10-24,Birmingham Academy
CORNY O'TUOHY,49.0,59.38,2019-10-24,Birmingham Academy
KELLY CONEYBEER,68.0,50.0,2019-10-24,Birmingham Academy
ABNER DEVO,36.0,68.75,2019-10-24,Birmingham Academy
ALMEDA JEPPE,60.0,75.0,2019-10-24,Birmingham Academy
AMOS CHATTELL,46.0,59.38,2019-10-24,Birmingham Academy
WAYLAN GORS,51.0,81.25,2019-10-24,Birmingham Academy
SUNSHINE BACKSHALL,55.0,65.62,2019-09-24,London Academy
DEMETRE COGHLAN,48.0,65.62,2019-09-24,London Academy
DYANNA KIDMAN,49.0,65.62,2019-09-24,London Academy
LLYWELLYN BECKITT,58.0,59.38,2019-09-24,London Academy
TADIO COLLOBY,60.0,59.38,2019-09-24,London Academy
DOTTI CRAUFORD,67.0,68.75,2019-09-24,London Academy
LURLINE SOUNESS,55.0,65.62,2019-09-24,London Academy
URIAH TERLINDEN,38.0,65.62,2019-09-24,London Academy
AGNELLA DAIRTON,69.0,46.88,2019-09-24,London Academy
DION ECCERSLEY,62.0,65.62,2019-09-24,London Academy
DORALIA DEACKES,55.0,71.88,2019-09-24,London Academy
GENE LEVENS,66.0,71.88,2019-09-24,London Academy
DANTE LITTLEY,49.0,56.25,2019-09-24,London Academy
ROBBIE ADESS,41.0,62.5,2019-09-24,London Academy
RAHAL RYMILL,48.0,68.75,2019-09-24,London Academy
DUNC SMALLACOMBE,58.0,62.5,2019-09-24,London Academy
RETA BLAIS,55.0,53.12,2019-09-24,London Academy
DOLLY CASARO,56.0,75.0,2019-09-24,London Academy
ANTONETTA RUSTEDGE,53.0,56.25,2019-09-24,London Academy
MILDRED MACALASTER,66.0,59.38,2019-09-24,London Academy
BARTEL BILLIARD,43.0,62.5,2019-09-24,London Academy
THORPE SIGARS,69.0,62.5,2019-09-24,London Academy
ENGLEBERT ORME,59.0,59.38,2019-09-24,London Academy
STORM HENRYSON,59.0,59.38,2019-09-24,London Academy
KALINDA LEEBETTER,54.0,68.75,2019-09-24,London Academy
ULRIKA SOUTHAM,53.0,75.0,2019-09-24,London Academy
RENADO RUBES,40.0,56.25,2019-09-24,London Academy
CHEREY TOLLFREE,59.0,56.25,2019-04-25,Birmingham Academy
VERENA SHEDDAN,49.0,62.5,2019-04-25,Birmingham Academy
NIEL SNARTT,38.0,53.12,2019-04-25,Birmingham Academy
FREDRICK CARVIL,53.0,56.25,2019-04-25,Birmingham Academy
IDELLE KIDSTOUN,54.0,53.12,2019-04-25,Birmingham Academy
DOROLISA CUTMERE,61.0,71.88,2019-04-25,Birmingham Academy
REEVA ROISTONE,47.0,68.75,2019-04-25,Birmingham Academy
FLSS WHITTLE,59.0,43.75,2019-04-25,Birmingham Academy
EMILINE BOLDEROE,64.0,68.75,2019-04-25,Birmingham Academy
WINNIFRED OUTRIGHT,72.0,59.38,2019-04-25,Birmingham Academy
BAILEY ANTRIM,59.0,53.12,2019-04-25,Birmingham Academy
PHYLLIDA MCDIARMID,52.0,65.62,2019-04-25,Birmingham Academy
ATLANTE BREWINS,47.0,78.12,2019-04-25,Birmingham Academy
TEMPLETON KRZYSZTOFIAK,58.0,56.25,2019-04-25,Birmingham Academy
IDELLE PIDGELEY,51.0,56.25,2019-04-25,Birmingham Academy
TEODORA REDWOOD,66.0,56.25,2019-04-25,Birmingham Academy
DEANA LEGONIDEC,62.0,68.75,2019-04-25,Birmingham Academy
CATI VON SALZBERG,58.0,43.75,2019-04-25,Birmingham Academy
JARIB RAYHILL,60.0,46.88,2019-04-25,Birmingham Academy
LANNY ESPOSITA,49.0,71.88,2019-04-25,Birmingham Academy
KONSTANTINE BADSEY,48.0,71.88,2019-04-25,Birmingham Academy
AVE WAUDBY,62.0,56.25,2019-04-25,Birmingham Academy
FIDELA DALLYWATER,58.0,62.5,2019-04-25,Birmingham Academy
ERTHA NUDDS,58.0,56.25,2019-04-25,Birmingham Academy
CONNY ROBSON,41.0,43.75,2019-04-25,Birmingham Academy
GUSS TACON,61.0,37.5,2019-07-25,Birmingham Academy
SANDER REWBOTTOM,58.0,65.62,2019-07-25,Birmingham Academy
ANNIE IBBOTSON,52.0,46.88,2019-07-25,Birmingham Academy
DOMINI NORVEL,42.0,87.5,2019-07-25,Birmingham Academy
VANESSA SCHIMKE,62.0,40.62,2019-07-25,Birmingham Academy
NISSIE D'ANDREA,49.0,62.5,2019-07-25,Birmingham Academy
GISELE BEETHAM,50.0,62.5,2019-07-25,Birmingham Academy
JUSTIS GILHAM,54.0,62.5,2019-07-25,Birmingham Academy
SELA PAVESE,56.0,59.38,2019-07-25,Birmingham Academy
MARCELA RIDING,59.0,59.38,2019-07-25,Birmingham Academy
THEDRICK CHASTAGNIER,39.0,50.0,2019-07-25,Birmingham Academy
EMELEN ROMERA,45.0,50.0,2019-07-25,Birmingham Academy
PETERUS BARTOLOMEAZZI,55.0,71.88,2019-07-25,Birmingham Academy
IRA GRIMA,60.0,62.5,2019-07-25,Birmingham Academy
HURLEE HESEY,61.0,59.38,2019-07-25,Birmingham Academy
CORDIE DUCKERING,53.0,65.62,2019-07-25,Birmingham Academy
JEFFRY COCKMAN,54.0,31.25,2019-07-25,Birmingham Academy
LEOPOLD BOICHAT,60.0,71.88,2019-07-25,Birmingham Academy
GRANT HASNEY,48.0,71.88,2019-07-25,Birmingham Academy
COLEMAN MARTYNKA,57.0,71.88,2019-07-25,Birmingham Academy
BRENDON CORBALLY,47.0,40.62,2019-07-25,Birmingham Academy
ORALIA CHAIKOVSKI,55.0,71.88,2019-07-25,Birmingham Academy
CLARKE CRADOC,61.0,84.38,2019-07-25,Birmingham Academy
ROIS COVEY,55.0,71.88,2019-07-25,Birmingham Academy
ALLYCE ATTWILL,55.0,71.88,2019-07-25,Birmingham Academy
LAYNE MCALINE,50.0,65.62,2019-07-25,Birmingham Academy
ANTONIE CORAM,53.0,84.38,2019-07-25,Birmingham Academy
NANI MEASOM,63.0,56.25,2019-07-25,Birmingham Academy
ELWIN COLLUMBINE,47.0,59.38,2019-07-25,Birmingham Academy
AURELEA LEASON,51.0,59.38,2019-06-25,London Academy
MARCHALL POCKLINGTON,58.0,56.25,2019-06-25,London Academy
GIULIETTA DISSMAN,62.0,59.38,2019-06-25,London Academy
NEHEMIAH TACKLE,44.0,81.25,2019-06-25,London Academy
LIND FEREBEE,51.0,78.12,2019-06-25,London Academy
MALIA CHECCUCCI,57.0,65.62,2019-06-25,London Academy
FANCIE COSTER,66.0,65.62,2019-06-25,London Academy
SHEL BOLZEN,59.0,56.25,2019-06-25,London Academy
MATILDA MATTIESSEN,59.0,68.75,2019-06-25,London Academy
FRANCKLIN WARRINGTON,51.0,65.62,2019-06-25,London Academy
HULDA BALES,58.0,68.75,2019-06-25,London Academy
SOPHEY SKYPP,45.0,62.5,2019-06-25,London Academy
MAREN BURGOTT,38.0,65.62,2019-06-25,London Academy
PRESCOTT ALFUSO,51.0,62.5,2019-06-25,London Academy
JUDIE LOWY,65.0,62.5,2019-06-25,London Academy
HOMERE STENTIFORD,64.0,75.0,2019-06-25,London Academy
MAC BIRKINSHAW,56.0,25.0,2019-06-25,London Academy
KELLEN BENTICK,53.0,68.75,2019-06-25,London Academy
TRESCHA GENDRICH,51.0,43.75,2019-06-25,London Academy
PAXTON MCGINLAY,63.0,46.88,2019-06-25,London Academy
AGUSTIN RODERIGHI,38.0,65.62,2019-06-25,London Academy
PHILLY JERRIM,56.0,50.0,2019-06-25,London Academy
SANDI GURTON,62.0,84.38,2019-06-25,London Academy
LEVY STANDAGE,57.0,53.12,2019-06-25,London Academy
LANNI OTTON,62.0,59.38,2019-06-25,London Academy
ALLX MACDEARMAID,59.0,50.0,2019-06-25,London Academy
JARROD DRIFFE,68.0,53.12,2019-06-25,London Academy
JUDD ABRAHM,55.0,65.62,2019-06-25,London Academy
KAT RIGARD,57.0,62.5,2019-06-25,London Academy
AMOS DEBILL,51.0,59.38,2019-06-25,London Academy
COSTANZA PYKE,67.0,59.38,2019-06-25,London Academy
OTHILIA HUCKER,65.0,65.62,2019-06-25,London Academy
RICKIE BURKERT,54.0,59.38,2019-09-25,London Academy
ANDRIANA DUNNIOM,57.0,50.0,2019-09-25,London Academy
SHERWIN MCILWRAITH,63.0,68.75,2019-09-25,London Academy
IOLANDE TREVERS,61.0,71.88,2019-09-25,London Academy
ORALLA COPELLI,55.0,78.12,2019-09-25,London Academy
FOSS TILIO,48.0,59.38,2019-09-25,London Academy
TULLEY FISBBURNE,59.0,43.75,2019-09-25,London Academy
DASIE JUSTIS,49.0,75.0,2019-09-25,London Academy
ELVINA JUDD,60.0,59.38,2019-09-25,London Academy
EIMILE JOBEY,51.0,68.75,2019-09-25,London Academy
ANESTASSIA GADMAN,58.0,59.38,2019-09-25,London Academy
WILLI LAKENDEN,48.0,62.5,2019-09-25,London Academy
REG GAINES,52.0,59.38,2019-09-25,London Academy
CHES KENIWELL,44.0,56.25,2019-09-25,London Academy
DARYA DELAFONT,57.0,62.5,2019-09-25,London Academy
MYRTA TISSELL,52.0,65.62,2019-09-25,London Academy
ROBIN GILLEON,41.0,65.62,2019-09-25,London Academy
GERTA LEONARDS,67.0,59.38,2019-09-25,London Academy
ALEEN MCKEURTON,53.0,65.62,2019-09-25,London Academy
PRUDI BERNARDON,52.0,71.88,2019-09-25,London Academy
PRESCOTT TURPEY,62.0,68.75,2019-09-25,London Academy
HONOR JEANDON,58.0,59.38,2019-09-25,London Academy
MALCOLM WHITTIER,59.0,78.12,2019-09-25,London Academy
GUN BURKITT,57.0,68.75,2019-09-25,London Academy
PAYTON TURBARD,58.0,81.25,2019-09-25,London Academy
NEALON TOMPKISS,66.0,71.88,2019-09-25,London Academy
CRISTAL PRENDERGAST,41.0,43.75,2019-09-25,London Academy
NEEL CAMPANA,50.0,65.62,2019-09-25,London Academy
BRIANA SHORTER,60.0,59.38,2019-09-25,London Academy
CLYVE BOWE,49.0,81.25,2019-09-25,London Academy
FRASIER GREEDYER,51.0,56.25,2019-02-26,London Academy
REESE PROSWELL,53.0,68.75,2019-02-26,London Academy
KIMMI BODELL,50.0,62.5,2019-02-26,London Academy
MART GRESER,61.0,50.0,2019-02-26,London Academy
AUDRYE TOBIAS,54.0,62.5,2019-02-26,London Academy
DEBBY MCGLYNN,57.0,53.12,2019-02-26,London Academy
YVETTE HAMMERBERG,49.0,56.25,2019-02-26,London Academy
ARTEMAS TOWSE,48.0,84.38,2019-02-26,London Academy
GEORG BATTMAN,60.0,75.0,2019-02-26,London Academy
WILLIS DEDNEY,41.0,71.88,2019-02-26,London Academy
LORAINE COLVILLE,54.0,75.0,2019-02-26,London Academy
TERRY MACVANAMY,60.0,87.5,2019-02-26,London Academy
SHERIDAN ANGEAU,53.0,65.62,2019-02-26,London Academy
HERMANN CASER,60.0,56.25,2019-02-26,London Academy
SAMMY GOWRIE,61.0,53.12,2019-02-26,London Academy
ALI SHEGOG,55.0,62.5,2019-02-26,London Academy
BRYANTY ZAMORRANO,47.0,75.0,2019-02-26,London Academy
HOWARD SHIPPERBOTTOM,69.0,68.75,2019-02-26,London Academy
MARMADUKE BRATCH,50.0,53.12,2019-02-26,London Academy
WESTON BAKES,55.0,68.75,2019-02-26,London Academy
EALASAID BADCOCK,63.0,62.5,2019-02-26,London Academy
EDIN ELIE,50.0,62.5,2019-02-26,London Academy
SUELLEN DOWNGATE,45.0,68.75,2019-02-26,London Academy
MARIKA MASSARD,54.0,56.25,2019-02-26,London Academy
GAL WALLWOOD,59.0,59.38,2019-02-26,London Academy
MAGGY O'CLEARY,53.0,46.88,2019-02-26,London Academy
BOBBYE HAINS,51.0,75.0,2019-02-26,London Academy
JARD ANTONOWICZ,52.0,62.5,2019-02-26,London Academy
SIMMONDS CASTLEDINE,47.0,75.0,2019-06-26,London Academy
JAN MANILO,60.0,56.25,2019-06-26,London Academy
KATHY MEEKING,52.0,75.0,2019-06-26,London Academy
ANNAMARIA REDHOLE,55.0,59.38,2019-06-26,London Academy
SIMONNE REGGLER,42.0,65.62,2019-06-26,London Academy
BRIDIE TOSH,61.0,28.12,2019-06-26,London Academy
KATHERINA BOWTON,60.0,62.5,2019-06-26,London Academy
KIM BESTER,62.0,68.75,2019-06-26,London Academy
CHERRITA ALLCHORNE,53.0,50.0,2019-06-26,London Academy
ROSALINDA FRIZZELL,50.0,59.38,2019-06-26,London Academy
BRIAN GEARD,56.0,31.25,2019-06-26,London Academy
CLAIRE REVILLE,46.0,56.25,2019-06-26,London Academy
BRIANT POPE,53.0,68.75,2019-06-26,London Academy
EAMON FALLS,56.0,43.75,2019-06-26,London Academy
SIEGFRIED GERLEIT,45.0,56.25,2019-06-26,London Academy
LEA NORMINGTON,59.0,62.5,2019-06-26,London Academy
CHARLEEN FELDBERGER,56.0,43.75,2019-06-26,London Academy
WILONA CREAN,59.0,65.62,2019-06-26,London Academy
CARLYNNE KEAL,52.0,75.0,2019-06-26,London Academy
BAX SWEETMAN,50.0,75.0,2019-06-26,London Academy
JAMIMA STURGESS,58.0,71.88,2019-06-26,London Academy
EDDY SMUTH,48.0,68.75,2019-06-26,London Academy
JEANNETTE WILLANS,63.0,65.62,2019-06-26,London Academy
TIRRELL TABART,52.0,71.88,2019-06-26,London Academy
ROLAND SKEENE,57.0,53.12,2019-06-26,London Academy
ABRAM SUETER,68.0,59.38,2019-06-26,London Academy
BAB DURNAN,47.0,53.12,2019-06-26,London Academy
CORDIE BOLDUC,55.0,68.75,2019-06-26,London Academy
FREMONT VICARY,59.0,78.12,2019-06-26,London Academy
CLIO LAFFLINA,61.0,78.12,2019-06-26,London Academy
BALDUIN GUDGION,39.0,59.38,2019-06-26,London Academy
ERVIN ACOSTA,59.0,62.5,2019-06-26,London Academy
AGUIE PRATI,61.0,59.38,2019-06-26,London Academy
CEIL SUERZ,48.0,71.88,2019-06-26,London Academy
KENDRA TWORT,57.0,65.62,2019-06-26,London Academy
DEXTER CLUCAS,50.0,37.5,2019-06-26,London Academy
SAMSON MOSEN,54.0,56.25,2019-06-26,London Academy
ABBE HANNY,60.0,71.88,2019-03-26,London Academy
ANICA VALLIS,62.0,75.0,2019-03-26,London Academy
QUINTON KUHNT,56.0,53.12,2019-03-26,London Academy
GAVIN SIDES,62.0,75.0,2019-03-26,London Academy
CYRILL WILKISON,52.0,65.62,2019-03-26,London Academy
TEODOOR FLEAY,68.0,78.12,2019-03-26,London Academy
KASSIA WYNCH,61.0,68.75,2019-03-26,London Academy
MARCY ROUT,47.0,62.5,2019-03-26,London Academy
BRION CLAPPSON,44.0,59.38,2019-03-26,London Academy
ALMIRE VAUTREY,59.0,53.12,2019-03-26,London Academy
RUDY DAVIDDE,56.0,71.88,2019-03-26,London Academy
FORBES FOLLOS,51.0,34.38,2019-03-26,London Academy
JACENTA ANTONOWICZ,57.0,43.75,2019-03-26,London Academy
RAUL AIRLIE,63.0,71.88,2019-03-26,London Academy
CLEVE CRAIGS,62.0,65.62,2019-03-26,London Academy
JERI BORGES,48.0,53.12,2019-03-26,London Academy
RUBIA HARNOTT,43.0,81.25,2019-03-26,London Academy
AILI HAGGIDON,47.0,59.38,2019-03-26,London Academy
SALAIDH JUMONT,65.0,37.5,2019-03-26,London Academy
JILL PAWELEC,56.0,46.88,2019-03-26,London Academy
OLENOLIN WRESSELL,62.0,68.75,2019-03-26,London Academy
ALTHEA KOPELMAN,54.0,78.12,2019-03-26,London Academy
DRE SOUTHERTON,50.0,50.0,2019-03-26,London Academy
NEAL GINGLELL,65.0,65.62,2019-03-26,London Academy
EMILY YON,51.0,71.88,2019-03-26,London Academy
SIGMUND CARNIHAN,44.0,68.75,2019-03-26,London Academy
ASHLIE SIVETER,57.0,56.25,2019-03-26,London Academy
MAXWELL FADELL,61.0,50.0,2019-03-26,London Academy
SERGE DE LEEK,52.0,62.5,2019-11-26,London Academy
SHARRON STARLING,54.0,56.25,2019-11-26,London Academy
CHARLA RILLETT,49.0,90.62,2019-11-26,London Academy
MAEGAN CHADD,60.0,71.88,2019-11-26,London Academy
ULRICK SWANE,61.0,81.25,2019-11-26,London Academy
GIFF DUKES,71.0,68.75,2019-11-26,London Academy
CINNAMON ROWE,42.0,65.62,2019-11-26,London Academy
KANYA JOBLING,58.0,53.12,2019-11-26,London Academy
MAITILDE BLABEY,69.0,68.75,2019-11-26,London Academy
VIVIANNE FOLLISS,52.0,59.38,2019-11-26,London Academy
EMYLE BYRTH,50.0,53.12,2019-11-26,London Academy
ORTON VERMER,59.0,78.12,2019-11-26,London Academy
JERRYLEE DE CRUZ,60.0,75.0,2019-11-26,London Academy
BRITTANEY ROSKRUGE,57.0,71.88,2019-11-26,London Academy
SKELLY GLEWE,36.0,34.38,2019-11-26,London Academy
GAR SILL,59.0,50.0,2019-11-26,London Academy
JESSALYN PREWETT,64.0,62.5,2019-11-26,London Academy
OLGA PYKETT,56.0,50.0,2019-11-26,London Academy
MILTON PIERS,53.0,65.62,2019-11-26,London Academy
ROBINA MACCOSTYE,50.0,71.88,2019-11-26,London Academy
GIACOPO KYNDRED,61.0,46.88,2019-11-26,London Academy
LUTHER AIMERIC,54.0,59.38,2019-11-26,London Academy
CARLIE HUCK,48.0,46.88,2019-11-26,London Academy
CLARI FREDSON,46.0,62.5,2019-11-26,London Academy
ELI BURNSIDES,44.0,50.0,2019-09-26,Birmingham Academy
VINSON TRAPPE,52.0,65.62,2019-09-26,Birmingham Academy
RUPERTA ILLESLEY,54.0,62.5,2019-09-26,Birmingham Academy
CECILIO WOFFENDEN,62.0,37.5,2019-09-26,Birmingham Academy
HUNTLEE NEWICK,53.0,31.25,2019-09-26,Birmingham Academy
FIFI KINGSLY,50.0,81.25,2019-09-26,Birmingham Academy
ARLEYNE WITCH,59.0,62.5,2019-09-26,Birmingham Academy
