,name,psychometrics_score,presentation_score,date,location
6,Lurleen Symson,58.0,62.5,2019-01-22,London Academy
7,Dianna Dannett,47.0,78.12,2019-01-22,London Academy
8,Minetta Beazleigh,48.0,34.38,2019-01-22,London Academy
9,Giorgio Piller,60.0,65.62,2019-01-22,London Academy
10,Abeu Rimmer,51.0,68.75,2019-01-22,London Academy
11,Matty California,45.0,59.38,2019-01-22,London Academy
12,Florinda Brabban,65.0,78.12,2019-01-22,London Academy
13,Onfroi Buxton,44.0,46.88,2019-01-22,London Academy
14,Durant Wiper,48.0,59.38,2019-01-22,London Academy
15,Sibbie Di Biasio,53.0,68.75,2019-01-22,London Academy
16,Ruben Mccoy,50.0,71.88,2019-01-22,London Academy
17,Johnette Durrans,67.0,53.12,2019-01-22,London Academy
18,Onida Tregear,61.0,59.38,2019-01-22,London Academy
19,Orion Ephgrave,55.0,71.88,2019-01-22,London Academy
20,Agretha Deinert,55.0,78.12,2019-01-22,London Academy
21,Gaspard Alvaro,50.0,62.5,2019-01-22,London Academy
22,Ganny Howcroft,44.0,50.0,2019-01-22,London Academy
23,Katinka Macrow,51.0,50.0,2019-01-22,London Academy
24,Ivory Linnemann,66.0,68.75,2019-01-22,London Academy
25,Farley Nuccitelli,59.0,71.88,2019-01-22,London Academy
26,Ced Danielut,50.0,78.12,2019-01-22,London Academy
27,Wynn Silverman,46.0,53.12,2019-01-22,London Academy
0,Worthington Stollenwerck,50.0,65.62,2019-05-22,London Academy
1,Morse Joly,52.0,65.62,2019-05-22,London Academy
2,Clint Gorbell,58.0,59.38,2019-05-22,London Academy
3,Angel Matteau,69.0,68.75,2019-05-22,London Academy
4,Reginauld Bridgland,44.0,62.5,2019-05-22,London Academy
5,Niven Ransbury,51.0,53.12,2019-05-22,London Academy
6,Alfred Huetson,49.0,46.88,2019-05-22,London Academy
7,Matilda Skeel,47.0,68.75,2019-05-22,London Academy
8,Jania Argyle,53.0,40.62,2019-05-22,London Academy
9,Freedman Bidder,53.0,68.75,2019-05-22,London Academy
10,Moshe Backshell,62.0,62.5,2019-05-22,London Academy
11,Fax Sogg,52.0,71.88,2019-05-22,London Academy
12,Skylar Dodwell,52.0,71.88,2019-05-22,London Academy
13,Tedman Fraser,44.0,68.75,2019-05-22,London Academy
14,Norry Nerney,57.0,40.62,2019-05-22,London Academy
15,Gage Vittel,56.0,84.38,2019-05-22,London Academy
16,Teddie Kemet,60.0,56.25,2019-05-22,London Academy
17,Samantha Evennett,50.0,53.12,2019-05-22,London Academy
18,Kerry Talman,49.0,71.88,2019-05-22,London Academy
19,Emile Vint,52.0,78.12,2019-05-22,London Academy
20,Nicolea Blazynski,62.0,81.25,2019-05-22,London Academy
21,Jedidiah Bennett,56.0,53.12,2019-05-22,London Academy
0,Luigi Methley,64.0,71.88,2019-10-22,London Academy
1,Jasmina Perillo,49.0,65.62,2019-10-22,London Academy
2,Sofia Cullivan,58.0,65.62,2019-10-22,London Academy
3,Lucho Shires,54.0,43.75,2019-10-22,London Academy
4,Haze Childes,54.0,56.25,2019-10-22,London Academy
5,Levi Savary,49.0,59.38,2019-10-22,London Academy
6,Paloma Gislebert,50.0,37.5,2019-10-22,London Academy
7,Elliot Chetwynd,54.0,53.12,2019-10-22,London Academy
8,Vinita Ilchenko,43.0,59.38,2019-10-22,London Academy
9,Mariejeanne Seatter,55.0,62.5,2019-10-22,London Academy
10,Eleni Alyukin,60.0,59.38,2019-10-22,London Academy
11,Markos Orwin,67.0,81.25,2019-10-22,London Academy
12,Barny Cannicott,48.0,43.75,2019-10-22,London Academy
13,Ame O'Keaveny,62.0,46.88,2019-10-22,London Academy
14,Sheff Waleworke,55.0,71.88,2019-10-22,London Academy
15,Leese Tuffey,63.0,68.75,2019-10-22,London Academy
16,Heddi Vernay,54.0,46.88,2019-10-22,London Academy
17,Giselbert Scarborough,52.0,71.88,2019-10-22,London Academy
18,Reider Note,42.0,62.5,2019-10-22,London Academy
19,Barrie Baumler,61.0,75.0,2019-10-22,London Academy
20,Othilia Hutton,65.0,75.0,2019-10-22,London Academy
21,Kellina Shuter,48.0,71.88,2019-10-22,London Academy
22,Terza Girdwood,56.0,75.0,2019-10-22,London Academy
23,Tildie Joselevitz,52.0,65.62,2019-10-22,London Academy
24,Eadie Briddock,45.0,50.0,2019-10-22,London Academy
25,Peter Sagerson,40.0,56.25,2019-10-22,London Academy
26,Katya Ausiello,41.0,75.0,2019-10-22,London Academy
27,Vivia Belcher,45.0,75.0,2019-10-22,London Academy
28,Price Trevino,53.0,40.62,2019-10-22,London Academy
29,Mitchel Ealden,49.0,65.62,2019-10-22,London Academy
30,Joana Klyner,43.0,53.12,2019-10-22,London Academy
0,Barbabra Mandal,47.0,65.62,2019-04-23,London Academy
1,Bear Blacksell,57.0,75.0,2019-04-23,London Academy
2,Alyce Hares,51.0,65.62,2019-04-23,London Academy
3,Devan Claricoats,55.0,53.12,2019-04-23,London Academy
4,Maxy Serjent,45.0,53.12,2019-04-23,London Academy
5,Rikki Balharrie,54.0,59.38,2019-04-23,London Academy
6,Dania Skellern,60.0,78.12,2019-04-23,London Academy
7,Evania Toombs,46.0,50.0,2019-04-23,London Academy
8,Palmer Zanicchi,47.0,62.5,2019-04-23,London Academy
9,Elliot Howarth,59.0,59.38,2019-04-23,London Academy
10,Shanda Glanester,67.0,62.5,2019-04-23,London Academy
11,Meredithe Ullyatt,53.0,62.5,2019-04-23,London Academy
12,Guthrie Klebes,53.0,75.0,2019-04-23,London Academy
13,Billie Sinkings,52.0,28.12,2019-04-23,London Academy
14,Mamie Sperrett,60.0,81.25,2019-04-23,London Academy
15,Roda Tours,62.0,68.75,2019-04-23,London Academy
16,Gillan Rosendorf,66.0,56.25,2019-04-23,London Academy
17,Meagan Osmon,62.0,53.12,2019-04-23,London Academy
18,Guillemette Fibbit,48.0,68.75,2019-04-23,London Academy
0,Windham Biagi,55.0,65.62,2019-01-23,London Academy
1,Thorndike Prynne,52.0,43.75,2019-01-23,London Academy
2,Carmelia Huzzay,55.0,68.75,2019-01-23,London Academy
3,Luther Waddilow,60.0,68.75,2019-01-23,London Academy
4,Nadeen Baily,50.0,43.75,2019-01-23,London Academy
5,Emmet Hehnke,42.0,62.5,2019-01-23,London Academy
6,Hetti Beach,52.0,65.62,2019-01-23,London Academy
7,Daphene Friedlos,67.0,50.0,2019-01-23,London Academy
8,Jacki Pinkstone,51.0,65.62,2019-01-23,London Academy
9,Austin Brister,53.0,68.75,2019-01-23,London Academy
10,Samuel Simone,52.0,62.5,2019-01-23,London Academy
11,Melisandra Walling,61.0,59.38,2019-01-23,London Academy
12,Nestor Thornewill,54.0,75.0,2019-01-23,London Academy
13,Kelley Bourgeois,50.0,50.0,2019-01-23,London Academy
14,Hinze Treat,68.0,71.88,2019-01-23,London Academy
15,Allen Edelman,62.0,65.62,2019-01-23,London Academy
16,Winnah Spooner,60.0,65.62,2019-01-23,London Academy
17,Bettye Di Napoli,56.0,46.88,2019-01-23,London Academy
18,Shannan Andrejevic,46.0,59.38,2019-01-23,London Academy
19,Jerry Lamort,64.0,40.62,2019-01-23,London Academy
20,Chiarra Laughlan,46.0,46.88,2019-01-23,London Academy
21,Pascale Snelgrove,62.0,53.12,2019-01-23,London Academy
22,Bernelle Longhorne,56.0,75.0,2019-01-23,London Academy
23,Aviva Duddan,59.0,62.5,2019-01-23,London Academy
24,Wendy Ducastel,55.0,68.75,2019-01-23,London Academy
25,Sherwin Guy,48.0,56.25,2019-01-23,London Academy
0,Sim Bacchus,55.0,68.75,2019-07-23,London Academy
1,Sybila Bragge,50.0,78.12,2019-07-23,London Academy
2,Brigid Blabber,52.0,68.75,2019-07-23,London Academy
3,Nickolai Mollison,44.0,50.0,2019-07-23,London Academy
4,Elliot Yarnley,58.0,71.88,2019-07-23,London Academy
5,Ulrike Kirvin,36.0,65.62,2019-07-23,London Academy
6,Donavon Glazebrook,50.0,46.88,2019-07-23,London Academy
7,Merrill Mckie,58.0,59.38,2019-07-23,London Academy
8,Ronny Vasilchenko,60.0,65.62,2019-07-23,London Academy
9,Scarlett Roarty,58.0,71.88,2019-07-23,London Academy
10,Annabela Brackenridge,53.0,75.0,2019-07-23,London Academy
11,Kerstin Couper,52.0,68.75,2019-07-23,London Academy
12,Alistair Scanes,59.0,68.75,2019-07-23,London Academy
13,Annice Farady,54.0,40.62,2019-07-23,London Academy
14,Rachelle Loutheane,51.0,43.75,2019-07-23,London Academy
15,Adela Paley,59.0,56.25,2019-07-23,London Academy
16,Sterling Byer,49.0,68.75,2019-07-23,London Academy
17,Nadya Pineaux,56.0,71.88,2019-07-23,London Academy
18,Ches Wahlberg,54.0,68.75,2019-07-23,London Academy
19,Merline Rickell,53.0,68.75,2019-07-23,London Academy
0,Bernadette O' Timony,59.0,59.38,2019-05-23,Birmingham Academy
1,Gert Buffery,48.0,65.62,2019-05-23,Birmingham Academy
2,Brittany Mccluskey,53.0,59.38,2019-05-23,Birmingham Academy
3,Timmi Warr,64.0,62.5,2019-05-23,Birmingham Academy
4,Dallas Sheekey,58.0,56.25,2019-05-23,Birmingham Academy
5,Wolfie Showers,54.0,71.88,2019-05-23,Birmingham Academy
6,Gaven Eckford,57.0,50.0,2019-05-23,Birmingham Academy
7,Nicolea Gibbins,61.0,71.88,2019-05-23,Birmingham Academy
8,Godfrey Mcalpine,49.0,53.12,2019-05-23,Birmingham Academy
9,Jamima Thursby,60.0,68.75,2019-05-23,Birmingham Academy
10,Harlene Brymner,51.0,65.62,2019-05-23,Birmingham Academy
11,Buddy Kettle,61.0,59.38,2019-05-23,Birmingham Academy
12,Evey Reisk,50.0,71.88,2019-05-23,Birmingham Academy
13,Artur Domaschke,68.0,59.38,2019-05-23,Birmingham Academy
14,Park Jaumet,55.0,59.38,2019-05-23,Birmingham Academy
15,Terrie Mackibbon,55.0,59.38,2019-05-23,Birmingham Academy
16,Roland Mcmurray,50.0,53.12,2019-05-23,Birmingham Academy
17,Alison Tranckle,58.0,75.0,2019-05-23,Birmingham Academy
18,Renado Arnaldo,60.0,56.25,2019-05-23,Birmingham Academy
19,Lucian Luckin,52.0,75.0,2019-05-23,Birmingham Academy
20,Tabor Veltman,65.0,59.38,2019-05-23,Birmingham Academy
21,Sigmund Moulin,58.0,75.0,2019-05-23,Birmingham Academy
22,Herby Gladdor,46.0,59.38,2019-05-23,Birmingham Academy
23,Sukey Donisi,53.0,62.5,2019-05-23,Birmingham Academy
0,Floria Keunemann,56.0,71.88,2019-10-23,London Academy
1,Raffaello Byneth,54.0,59.38,2019-10-23,London Academy
2,Morie Beer,56.0,62.5,2019-10-23,London Academy
3,Vic Massot,61.0,50.0,2019-10-23,London Academy
4,Laurens Routham,61.0,62.5,2019-10-23,London Academy
5,Carita Fenech,49.0,59.38,2019-10-23,London Academy
6,Danella Leisk,64.0,50.0,2019-10-23,London Academy
7,Jens Tomaskunas,59.0,62.5,2019-10-23,London Academy
8,Lindon Mee,53.0,68.75,2019-10-23,London Academy
9,Martita Hugle,57.0,78.12,2019-10-23,London Academy
10,Kameko Wilmore,60.0,53.12,2019-10-23,London Academy
11,Carrie Fitzhenry,55.0,68.75,2019-10-23,London Academy
12,Reuven Kneaphsey,53.0,75.0,2019-10-23,London Academy
13,Nelie Chate,60.0,62.5,2019-10-23,London Academy
14,Hatty Kinner,52.0,62.5,2019-10-23,London Academy
15,Nora Leyes,59.0,53.12,2019-10-23,London Academy
16,Toby Frossell,60.0,40.62,2019-10-23,London Academy
17,Tory Aireton,60.0,62.5,2019-10-23,London Academy
18,Ambros Dionsetto,43.0,50.0,2019-10-23,London Academy
19,Celesta Linturn,50.0,59.38,2019-10-23,London Academy
20,Nial Ipsly,51.0,46.88,2019-10-23,London Academy
21,Alfonso Paschek,47.0,65.62,2019-10-23,London Academy
22,Clair Prestland,46.0,56.25,2019-10-23,London Academy
23,Mortie Beadel,57.0,37.5,2019-10-23,London Academy
24,Oby Tomlin,50.0,68.75,2019-10-23,London Academy
25,Kissee Strowthers,57.0,34.38,2019-10-23,London Academy
26,Lelia Shingles,60.0,53.12,2019-10-23,London Academy
0,Parke Van Son,51.0,62.5,2019-04-24,London Academy
1,Hazel Boyack,69.0,68.75,2019-04-24,London Academy
2,Rosina Ellaway,56.0,59.38,2019-04-24,London Academy
3,Jeniffer Kohrsen,49.0,71.88,2019-04-24,London Academy
4,Anabelle Masey,68.0,68.75,2019-04-24,London Academy
5,Reube Launchbury,56.0,56.25,2019-04-24,London Academy
6,Janna Heyfield,57.0,59.38,2019-04-24,London Academy
7,Hersh Bramo,64.0,53.12,2019-04-24,London Academy
8,Kriste Yallop,43.0,56.25,2019-04-24,London Academy
9,Hayward Macdunleavy,57.0,87.5,2019-04-24,London Academy
10,Huberto Vollam,54.0,65.62,2019-04-24,London Academy
11,Lorianne Potticary,56.0,65.62,2019-04-24,London Academy
12,Klarika Grodden,49.0,43.75,2019-04-24,London Academy
13,Tanya Altofts,54.0,71.88,2019-04-24,London Academy
14,Florence Joseph,59.0,71.88,2019-04-24,London Academy
15,Gunilla Davidi,57.0,59.38,2019-04-24,London Academy
16,Daniela Raffan,58.0,56.25,2019-04-24,London Academy
17,Ruth Harnor,55.0,62.5,2019-04-24,London Academy
18,Wileen Reckus,52.0,84.38,2019-04-24,London Academy
19,Wilmer Gealle,52.0,90.62,2019-04-24,London Academy
20,Warde Zecchinii,53.0,53.12,2019-04-24,London Academy
21,Michele Lawtie,55.0,43.75,2019-04-24,London Academy
22,Garnette Zanussii,51.0,65.62,2019-04-24,London Academy
0,Kit Oddboy,56.0,59.38,2019-01-24,Birmingham Academy
1,Johannes Hanny,67.0,40.62,2019-01-24,Birmingham Academy
2,Sibley Kneaphsey,50.0,71.88,2019-01-24,Birmingham Academy
3,Jorry Boom,43.0,65.62,2019-01-24,Birmingham Academy
4,Alexandro Frid,49.0,68.75,2019-01-24,Birmingham Academy
5,Fran Gebbie,66.0,62.5,2019-01-24,Birmingham Academy
6,Patrice Prescott,55.0,68.75,2019-01-24,Birmingham Academy
7,Blaine Kimmel,52.0,34.38,2019-01-24,Birmingham Academy
8,Isac Bronger,64.0,68.75,2019-01-24,Birmingham Academy
9,Muhammad Garthland,52.0,75.0,2019-01-24,Birmingham Academy
10,Merlina Spires,46.0,78.12,2019-01-24,Birmingham Academy
11,Danna Doyley,46.0,75.0,2019-01-24,Birmingham Academy
12,Roxanna Tunstall,52.0,50.0,2019-01-24,Birmingham Academy
13,Konrad Mccready,56.0,65.62,2019-01-24,Birmingham Academy
14,Goober Sully,46.0,62.5,2019-01-24,Birmingham Academy
15,Zoe Schlag,59.0,62.5,2019-01-24,Birmingham Academy
16,Thurston Venes,54.0,59.38,2019-01-24,Birmingham Academy
17,Jorry Varley,54.0,65.62,2019-01-24,Birmingham Academy
18,Hallie Robbeke,51.0,65.62,2019-01-24,Birmingham Academy
19,Lutero Winning,58.0,71.88,2019-01-24,Birmingham Academy
20,Ronalda Richmond,63.0,65.62,2019-01-24,Birmingham Academy
21,Sybil Maydway,60.0,78.12,2019-01-24,Birmingham Academy
22,Kiah Pittwood,68.0,56.25,2019-01-24,Birmingham Academy
23,Craig Ferriby,55.0,59.38,2019-01-24,Birmingham Academy
24,Mel Lafontaine,64.0,59.38,2019-01-24,Birmingham Academy
25,Marlon Tomala,59.0,46.88,2019-01-24,Birmingham Academy
26,Olin Gariff,58.0,46.88,2019-01-24,Birmingham Academy
27,Findley Mcandie,49.0,84.38,2019-01-24,Birmingham Academy
0,Nora Akers,61.0,71.88,2019-07-24,London Academy
1,Francklyn Leyninye,59.0,68.75,2019-07-24,London Academy
2,Julissa Dumbleton,57.0,59.38,2019-07-24,London Academy
3,Elise Soppeth,57.0,68.75,2019-07-24,London Academy
4,Kerr Allanson,58.0,65.62,2019-07-24,London Academy
5,Berty Saye,44.0,68.75,2019-07-24,London Academy
6,Hurley Collyer,70.0,75.0,2019-07-24,London Academy
7,Horten Goble,65.0,75.0,2019-07-24,London Academy
8,Katrine Westley,66.0,65.62,2019-07-24,London Academy
9,Ingrid Cradick,65.0,75.0,2019-07-24,London Academy
10,Valery Delia,56.0,71.88,2019-07-24,London Academy
11,Andrey Cochran,55.0,78.12,2019-07-24,London Academy
12,Bryanty Brosnan,48.0,59.38,2019-07-24,London Academy
13,Virgilio Duddy,46.0,71.88,2019-07-24,London Academy
14,Raimondo Mellodey,65.0,71.88,2019-07-24,London Academy
15,Nevil Penhaligon,57.0,65.62,2019-07-24,London Academy
16,Clementine Greedier,67.0,53.12,2019-07-24,London Academy
17,Harrison Filby,48.0,71.88,2019-07-24,London Academy
18,Brodie Chipperfield,55.0,68.75,2019-07-24,London Academy
19,Dewitt Milborn,52.0,56.25,2019-07-24,London Academy
20,Raven Derx,52.0,68.75,2019-07-24,London Academy
21,Ines Plaschke,54.0,56.25,2019-07-24,London Academy
22,Ahmad Shreeves,44.0,59.38,2019-07-24,London Academy
23,Allyn Spatoni,47.0,62.5,2019-07-24,London Academy
0,Ruby Batecok,72.0,62.5,2019-10-24,Birmingham Academy
1,Odell Dwire,65.0,62.5,2019-10-24,Birmingham Academy
2,Joete Gummory,45.0,62.5,2019-10-24,Birmingham Academy
3,Kathrine Sugar,56.0,53.12,2019-10-24,Birmingham Academy
4,Lanie Romeuf,58.0,59.38,2019-10-24,Birmingham Academy
5,Gavin Dougill,52.0,43.75,2019-10-24,Birmingham Academy
6,Farlay Pitman,58.0,78.12,2019-10-24,Birmingham Academy
7,Banky Mchaffy,49.0,78.12,2019-10-24,Birmingham Academy
8,Maiga Griffin,54.0,62.5,2019-10-24,Birmingham Academy
9,Tiffany Laugherane,58.0,65.62,2019-10-24,Birmingham Academy
10,Karita Crissil,57.0,59.38,2019-10-24,Birmingham Academy
11,Nalani Petz,64.0,37.5,2019-10-24,Birmingham Academy
12,Gaston Kunc,63.0,46.88,2019-10-24,Birmingham Academy
13,Thaxter Vanyushin,52.0,75.0,2019-10-24,Birmingham Academy
14,Lonnard Wetton,49.0,71.88,2019-10-24,Birmingham Academy
15,Vanny Grimsditch,50.0,59.38,2019-10-24,Birmingham Academy
16,Jori Riseley,51.0,65.62,2019-10-24,Birmingham Academy
17,Corny O'Tuohy,49.0,59.38,2019-10-24,Birmingham Academy
18,Kelly Coneybeer,68.0,50.0,2019-10-24,Birmingham Academy
19,Abner Devo,36.0,68.75,2019-10-24,Birmingham Academy
20,Almeda Jeppe,60.0,75.0,2019-10-24,Birmingham Academy
21,Amos Chattell,46.0,59.38,2019-10-24,Birmingham Academy
22,Waylan Gors,51.0,81.25,2019-10-24,Birmingham Academy
23,Romy Nother,66.0,62.5,2019-10-24,Birmingham Academy
0,Sunshine Backshall,55.0,65.62,2019-09-24,London Academy
1,Demetre Coghlan,48.0,65.62,2019-09-24,London Academy
2,Dyanna Kidman,49.0,65.62,2019-09-24,London Academy
3,Llywellyn Beckitt,58.0,59.38,2019-09-24,London Academy
4,Tadio Colloby,60.0,59.38,2019-09-24,London Academy
5,Dotti Crauford,67.0,68.75,2019-09-24,London Academy
6,Lurline Souness,55.0,65.62,2019-09-24,London Academy
7,Uriah Terlinden,38.0,65.62,2019-09-24,London Academy
8,Agnella Dairton,69.0,46.88,2019-09-24,London Academy
9,Dion Eccersley,62.0,65.62,2019-09-24,London Academy
10,Doralia Deackes,55.0,71.88,2019-09-24,London Academy
11,Gene Levens,66.0,71.88,2019-09-24,London Academy
12,Dante Littley,49.0,56.25,2019-09-24,London Academy
13,Robbie Adess,41.0,62.5,2019-09-24,London Academy
14,Rahal Rymill,48.0,68.75,2019-09-24,London Academy
15,Dunc Smallacombe,58.0,62.5,2019-09-24,London Academy
16,Reta Blais,55.0,53.12,2019-09-24,London Academy
17,Dolly Casaro,56.0,75.0,2019-09-24,London Academy
18,Antonetta Rustedge,53.0,56.25,2019-09-24,London Academy
19,Mildred Macalaster,66.0,59.38,2019-09-24,London Academy
20,Bartel Billiard,43.0,62.5,2019-09-24,London Academy
21,Thorpe Sigars,69.0,62.5,2019-09-24,London Academy
22,Englebert Orme,59.0,59.38,2019-09-24,London Academy
23,Storm Henryson,59.0,59.38,2019-09-24,London Academy
24,Kalinda Leebetter,54.0,68.75,2019-09-24,London Academy
25,Ulrika Southam,53.0,75.0,2019-09-24,London Academy
26,Renado Rubes,40.0,56.25,2019-09-24,London Academy
27,Vernon Bennough,55.0,75.0,2019-09-24,London Academy
0,Cherey Tollfree,59.0,56.25,2019-04-25,Birmingham Academy
1,Verena Sheddan,49.0,62.5,2019-04-25,Birmingham Academy
2,Niel Snartt,38.0,53.12,2019-04-25,Birmingham Academy
3,Fredrick Carvil,53.0,56.25,2019-04-25,Birmingham Academy
4,Idelle Kidstoun,54.0,53.12,2019-04-25,Birmingham Academy
5,Dorolisa Cutmere,61.0,71.88,2019-04-25,Birmingham Academy
6,Reeva Roistone,47.0,68.75,2019-04-25,Birmingham Academy
7,Flss Whittle,59.0,43.75,2019-04-25,Birmingham Academy
8,Emiline Bolderoe,64.0,68.75,2019-04-25,Birmingham Academy
9,Winnifred Outright,72.0,59.38,2019-04-25,Birmingham Academy
10,Bailey Antrim,59.0,53.12,2019-04-25,Birmingham Academy
11,Phyllida Mcdiarmid,52.0,65.62,2019-04-25,Birmingham Academy
12,Atlante Brewins,47.0,78.12,2019-04-25,Birmingham Academy
13,Templeton Krzysztofiak,58.0,56.25,2019-04-25,Birmingham Academy
14,Idelle Pidgeley,51.0,56.25,2019-04-25,Birmingham Academy
15,Teodora Redwood,66.0,56.25,2019-04-25,Birmingham Academy
16,Deana Legonidec,62.0,68.75,2019-04-25,Birmingham Academy
17,Cati Von Salzberg,58.0,43.75,2019-04-25,Birmingham Academy
18,Jarib Rayhill,60.0,46.88,2019-04-25,Birmingham Academy
19,Lanny Esposita,49.0,71.88,2019-04-25,Birmingham Academy
20,Konstantine Badsey,48.0,71.88,2019-04-25,Birmingham Academy
21,Ave Waudby,62.0,56.25,2019-04-25,Birmingham Academy
22,Fidela Dallywater,58.0,62.5,2019-04-25,Birmingham Academy
23,Ertha Nudds,58.0,56.25,2019-04-25,Birmingham Academy
24,Conny Robson,41.0,43.75,2019-04-25,Birmingham Academy
25,Boycey Matushenko,69.0,65.62,2019-04-25,Birmingham Academy
0,Guss Tacon,61.0,37.5,2019-07-25,Birmingham Academy
1,Sander Rewbottom,58.0,65.62,2019-07-25,Birmingham Academy
2,Annie Ibbotson,52.0,46.88,2019-07-25,Birmingham Academy
3,Domini Norvel,42.0,87.5,2019-07-25,Birmingham Academy
4,Vanessa Schimke,62.0,40.62,2019-07-25,Birmingham Academy
5,Nissie D'Andrea,49.0,62.5,2019-07-25,Birmingham Academy
6,Gisele Beetham,50.0,62.5,2019-07-25,Birmingham Academy
7,Justis Gilham,54.0,62.5,2019-07-25,Birmingham Academy
8,Sela Pavese,56.0,59.38,2019-07-25,Birmingham Academy
9,Marcela Riding,59.0,59.38,2019-07-25,Birmingham Academy
10,Thedrick Chastagnier,39.0,50.0,2019-07-25,Birmingham Academy
11,Emelen Romera,45.0,50.0,2019-07-25,Birmingham Academy
12,Peterus Bartolomeazzi,55.0,71.88,2019-07-25,Birmingham Academy
13,Ira Grima,60.0,62.5,2019-07-25,Birmingham Academy
14,Hurlee Hesey,61.0,59.38,2019-07-25,Birmingham Academy
15,Cordie Duckering,53.0,65.62,2019-07-25,Birmingham Academy
16,Jeffry Cockman,54.0,31.25,2019-07-25,Birmingham Academy
17,Leopold Boichat,60.0,71.88,2019-07-25,Birmingham Academy
18,Grant Hasney,48.0,71.88,2019-07-25,Birmingham Academy
19,Coleman Martynka,57.0,71.88,2019-07-25,Birmingham Academy
20,Brendon Corbally,47.0,40.62,2019-07-25,Birmingham Academy
21,Oralia Chaikovski,55.0,71.88,2019-07-25,Birmingham Academy
22,Clarke Cradoc,61.0,84.38,2019-07-25,Birmingham Academy
23,Rois Covey,55.0,71.88,2019-07-25,Birmingham Academy
24,Allyce Attwill,55.0,71.88,2019-07-25,Birmingham Academy
25,Layne Mcaline,50.0,65.62,2019-07-25,Birmingham Academy
26,Antonie Coram,53.0,84.38,2019-07-25,Birmingham Academy
27,Nani Measom,63.0,56.25,2019-07-25,Birmingham Academy
28,Elwin Collumbine,47.0,59.38,2019-07-25,Birmingham Academy
29,Evvy Allcock,64.0,68.75,2019-07-25,Birmingham Academy
0,Aurelea Leason,51.0,59.38,2019-06-25,London Academy
1,Marchall Pocklington,58.0,56.25,2019-06-25,London Academy
2,Giulietta Dissman,62.0,59.38,2019-06-25,London Academy
3,Nehemiah Tackle,44.0,81.25,2019-06-25,London Academy
4,Lind Ferebee,51.0,78.12,2019-06-25,London Academy
5,Malia Checcucci,57.0,65.62,2019-06-25,London Academy
6,Fancie Coster,66.0,65.62,2019-06-25,London Academy
7,Shel Bolzen,59.0,56.25,2019-06-25,London Academy
8,Matilda Mattiessen,59.0,68.75,2019-06-25,London Academy
9,Francklin Warrington,51.0,65.62,2019-06-25,London Academy
10,Hulda Bales,58.0,68.75,2019-06-25,London Academy
11,Sophey Skypp,45.0,62.5,2019-06-25,London Academy
12,Maren Burgott,38.0,65.62,2019-06-25,London Academy
13,Prescott Alfuso,51.0,62.5,2019-06-25,London Academy
14,Judie Lowy,65.0,62.5,2019-06-25,London Academy
15,Homere Stentiford,64.0,75.0,2019-06-25,London Academy
16,Mac Birkinshaw,56.0,25.0,2019-06-25,London Academy
17,Kellen Bentick,53.0,68.75,2019-06-25,London Academy
18,Trescha Gendrich,51.0,43.75,2019-06-25,London Academy
19,Paxton Mcginlay,63.0,46.88,2019-06-25,London Academy
20,Agustin Roderighi,38.0,65.62,2019-06-25,London Academy
21,Philly Jerrim,56.0,50.0,2019-06-25,London Academy
22,Sandi Gurton,62.0,84.38,2019-06-25,London Academy
23,Levy Standage,57.0,53.12,2019-06-25,London Academy
24,Lanni Otton,62.0,59.38,2019-06-25,London Academy
25,Allx Macdearmaid,59.0,50.0,2019-06-25,London Academy
26,Jarrod Driffe,68.0,53.12,2019-06-25,London Academy
27,Judd Abrahm,55.0,65.62,2019-06-25,London Academy
28,Kat Rigard,57.0,62.5,2019-06-25,London Academy
29,Amos Debill,51.0,59.38,2019-06-25,London Academy
30,Costanza Pyke,67.0,59.38,2019-06-25,London Academy
31,Othilia Hucker,65.0,65.62,2019-06-25,London Academy
32,Silvain Kuhwald,61.0,65.62,2019-06-25,London Academy
0,Rickie Burkert,54.0,59.38,2019-09-25,London Academy
1,Andriana Dunniom,57.0,50.0,2019-09-25,London Academy
2,Sherwin Mcilwraith,63.0,68.75,2019-09-25,London Academy
3,Iolande Trevers,61.0,71.88,2019-09-25,London Academy
4,Oralla Copelli,55.0,78.12,2019-09-25,London Academy
5,Foss Tilio,48.0,59.38,2019-09-25,London Academy
6,Tulley Fisbburne,59.0,43.75,2019-09-25,London Academy
7,Dasie Justis,49.0,75.0,2019-09-25,London Academy
8,Elvina Judd,60.0,59.38,2019-09-25,London Academy
9,Eimile Jobey,51.0,68.75,2019-09-25,London Academy
10,Anestassia Gadman,58.0,59.38,2019-09-25,London Academy
11,Willi Lakenden,48.0,62.5,2019-09-25,London Academy
12,Reg Gaines,52.0,59.38,2019-09-25,London Academy
13,Ches Keniwell,44.0,56.25,2019-09-25,London Academy
14,Darya Delafont,57.0,62.5,2019-09-25,London Academy
15,Myrta Tissell,52.0,65.62,2019-09-25,London Academy
16,Robin Gilleon,41.0,65.62,2019-09-25,London Academy
17,Gerta Leonards,67.0,59.38,2019-09-25,London Academy
18,Aleen Mckeurton,53.0,65.62,2019-09-25,London Academy
19,Prudi Bernardon,52.0,71.88,2019-09-25,London Academy
20,Prescott Turpey,62.0,68.75,2019-09-25,London Academy
21,Honor Jeandon,58.0,59.38,2019-09-25,London Academy
